content,description,type
SELECT,SELECT statement,keyword
FROM,FROM clause,keyword
WHERE,WHERE clause,keyword
JOIN,JOIN clause,keyword
INNER,INNER join,keyword
LEFT,LEFT join,keyword
RIGHT,RIGHT join,keyword
FULL,FULL join,keyword
OUTER,OUTER join,keyword
CROSS,CROSS join,keyword
ON,ON condition,keyword
AS,AS alias,keyword
AND,AND operator,keyword
OR,OR operator,keyword
NOT,NOT operator,keyword
IN,IN operator,keyword
IS,IS operator,keyword
NULL,NULL value,keyword
LIKE,LIKE operator,keyword
BETWEEN,BETWEEN operator,keyword
INSERT,INSERT statement,keyword
INTO,INSERT INTO,keyword
VALUES,VALUES clause,keyword
UPDATE,UPDATE statement,keyword
SET,SET clause,keyword
DELETE,DELETE statement,keyword
CREATE,CREATE statement,keyword
TABLE,CREATE TABLE,keyword
ALTER,ALTER statement,keyword
DROP,DROP statement,keyword
ORDER,ORDER BY,keyword
BY,ORDER BY / GROUP BY,keyword
ASC,ASC order,keyword
DESC,DESC order,keyword
GROUP,GROUP BY,keyword
HAVING,HAVING clause,keyword
UNION,UNION operator,keyword
DISTINCT,DISTINCT modifier,keyword
LIMIT,LIMIT clause,keyword
OFFSET,OFFSET clause,keyword
